"aid","Latitude","Longitude","Habitat_WWF","class_description","metric","buff_dist_km","buff_metric","value_median","sp_name","sp_ab","sp_pa"
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",1,"cpland_1",57.7868852459016,"sppE",1,1
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",1,"cpland_1",57.7868852459016,"sppF",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",1,"cpland_1",57.7868852459016,"sppG",1,1
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",1,"cpland_1",57.7868852459016,"sppH",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",1,"cpland_1",57.7868852459016,"sppI",4,1
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",1,"cpland_1",57.7868852459016,"sppJ",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",1,"cpland_1",57.7868852459016,"sppK",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppA",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppB",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppC",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppD",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppE",1,1
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppF",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppG",1,1
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppH",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppI",4,1
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppJ",0,0
5,-0.03408,-51.13247,"Cerrado","Forest","cpland",10,"cpland_10",22.8839329569474,"sppK",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppA",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppB",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppC",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppD",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppE",1,1
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppF",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppG",1,1
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppH",1,1
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppI",4,1
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppJ",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",1,"cpland_1",36.2012094557449,"sppK",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppA",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppB",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppC",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppD",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppE",1,1
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppF",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppG",1,1
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppH",1,1
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppI",4,1
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppJ",0,0
6,-0.01785,-51.15596,"Cerrado","Forest","cpland",10,"cpland_10",27.5810841177499,"sppK",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppA",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppB",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppC",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppD",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppE",1,1
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppF",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppG",1,1
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppH",1,1
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppI",4,1
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppJ",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",1,"cpland_1",27.0233196159122,"sppK",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppA",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppB",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppC",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppD",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppE",1,1
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppF",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppG",1,1
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppH",1,1
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppI",4,1
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppJ",0,0
7,-0.00828,-51.15422,"Cerrado","Forest","cpland",10,"cpland_10",26.2673750706929,"sppK",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppA",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppB",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppC",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppD",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppE",1,1
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppF",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppG",1,1
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppH",1,1
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppI",4,1
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppJ",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",1,"cpland_1",42.3933975240715,"sppK",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppA",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppB",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppC",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppD",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppE",1,1
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppF",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppG",1,1
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppH",1,1
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppI",4,1
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppJ",0,0
8,-0.00582,-51.13841,"Cerrado","Forest","cpland",10,"cpland_10",21.1719502015026,"sppK",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppA",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppB",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppC",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppD",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppE",2,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppF",1,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppG",1,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppH",3,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppI",2,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppJ",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",1,"cpland_1",60.0773053561568,"sppK",1,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppA",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppB",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppC",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppD",0,0
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppE",2,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppF",1,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppG",1,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppH",3,1
9,-0.01545,-51.21377,"Cerrado","Forest","cpland",10,"cpland_10",40.180461974084,"sppI",2,1
