"aid","Latitude","Longitude","Habitat_WWF","sp","int_pres"
20,0.62599,-51.65246,"Floresta","sppA",0
20,0.62599,-51.65246,"Floresta","sppB",0
20,0.62599,-51.65246,"Floresta","sppC",0
20,0.62599,-51.65246,"Floresta","sppD",2
20,0.62599,-51.65246,"Floresta","sppE",0
20,0.62599,-51.65246,"Floresta","sppF",1
20,0.62599,-51.65246,"Floresta","sppG",4
20,0.62599,-51.65246,"Floresta","sppH",1
20,0.62599,-51.65246,"Floresta","sppI",0
20,0.62599,-51.65246,"Floresta","sppJ",1
20,0.62599,-51.65246,"Floresta","sppK",3
21,0.61183,-51.68656,"Floresta","sppA",0
21,0.61183,-51.68656,"Floresta","sppB",0
21,0.61183,-51.68656,"Floresta","sppC",0
21,0.61183,-51.68656,"Floresta","sppD",3
21,0.61183,-51.68656,"Floresta","sppE",1
21,0.61183,-51.68656,"Floresta","sppF",2
21,0.61183,-51.68656,"Floresta","sppG",5
21,0.61183,-51.68656,"Floresta","sppH",4
21,0.61183,-51.68656,"Floresta","sppI",0
21,0.61183,-51.68656,"Floresta","sppJ",1
21,0.61183,-51.68656,"Floresta","sppK",1
22,0.60265,-51.72149,"Floresta","sppA",0
22,0.60265,-51.72149,"Floresta","sppB",0
22,0.60265,-51.72149,"Floresta","sppC",0
22,0.60265,-51.72149,"Floresta","sppD",2
22,0.60265,-51.72149,"Floresta","sppE",1
22,0.60265,-51.72149,"Floresta","sppF",1
22,0.60265,-51.72149,"Floresta","sppG",3
22,0.60265,-51.72149,"Floresta","sppH",6
22,0.60265,-51.72149,"Floresta","sppI",0
22,0.60265,-51.72149,"Floresta","sppJ",0
22,0.60265,-51.72149,"Floresta","sppK",1
23,0.59859,-51.75021,"Floresta","sppA",0
23,0.59859,-51.75021,"Floresta","sppB",1
23,0.59859,-51.75021,"Floresta","sppC",0
23,0.59859,-51.75021,"Floresta","sppD",0
23,0.59859,-51.75021,"Floresta","sppE",0
23,0.59859,-51.75021,"Floresta","sppF",0
23,0.59859,-51.75021,"Floresta","sppG",4
23,0.59859,-51.75021,"Floresta","sppH",6
23,0.59859,-51.75021,"Floresta","sppI",0
23,0.59859,-51.75021,"Floresta","sppJ",0
23,0.59859,-51.75021,"Floresta","sppK",1
24,0.14007,-51.13842,"Cerrado","sppA",0
24,0.14007,-51.13842,"Cerrado","sppB",0
24,0.14007,-51.13842,"Cerrado","sppC",1
24,0.14007,-51.13842,"Cerrado","sppD",0
24,0.14007,-51.13842,"Cerrado","sppE",0
24,0.14007,-51.13842,"Cerrado","sppF",0
24,0.14007,-51.13842,"Cerrado","sppG",0
24,0.14007,-51.13842,"Cerrado","sppH",1
24,0.14007,-51.13842,"Cerrado","sppI",4
24,0.14007,-51.13842,"Cerrado","sppJ",2
24,0.14007,-51.13842,"Cerrado","sppK",0
25,0.29015,-51.1241,"Cerrado","sppA",0
25,0.29015,-51.1241,"Cerrado","sppB",0
25,0.29015,-51.1241,"Cerrado","sppC",0
25,0.29015,-51.1241,"Cerrado","sppD",0
25,0.29015,-51.1241,"Cerrado","sppE",1
25,0.29015,-51.1241,"Cerrado","sppF",0
25,0.29015,-51.1241,"Cerrado","sppG",2
25,0.29015,-51.1241,"Cerrado","sppH",0
25,0.29015,-51.1241,"Cerrado","sppI",1
25,0.29015,-51.1241,"Cerrado","sppJ",3
25,0.29015,-51.1241,"Cerrado","sppK",0
26,0.71028,-51.37211,"Cerrado","sppA",0
26,0.71028,-51.37211,"Cerrado","sppB",0
26,0.71028,-51.37211,"Cerrado","sppC",0
26,0.71028,-51.37211,"Cerrado","sppD",0
26,0.71028,-51.37211,"Cerrado","sppE",1
26,0.71028,-51.37211,"Cerrado","sppF",0
26,0.71028,-51.37211,"Cerrado","sppG",0
26,0.71028,-51.37211,"Cerrado","sppH",1
26,0.71028,-51.37211,"Cerrado","sppI",3
26,0.71028,-51.37211,"Cerrado","sppJ",1
